time,open,high,low,close,volume
2024-07-03,109.09,111.01,108.75,109.5,7642345
2024-07-04,110.42,113.52,110.42,113.52,8129152
2024-07-05,113.77,116.78,113.77,115.94,7807749
2024-07-08,115.77,116.69,114.94,116.69,5876745
2024-07-09,116.28,116.44,113.68,114.94,9689262
2024-07-10,113.68,114.52,112.01,112.01,6309470
2024-07-11,112.1,113.18,110.76,111.18,6857179
2024-07-12,110.51,113.68,110.51,111.85,3562395
2024-07-15,111.59,112.68,110.59,110.93,3074934
2024-07-16,111.68,112.43,110.59,112.01,4007693
2024-07-17,112.01,112.1,108.59,110.26,6980219
2024-07-18,109.84,109.84,106.83,106.91,10828773
2024-07-19,107.5,108.08,105.33,105.33,6581002
2024-07-22,105.33,105.33,102.98,103.74,6242427
2024-07-23,104.41,106.58,104.32,104.91,5323805
2024-07-24,104.91,105.83,103.65,105.33,4160841
2024-07-25,103.82,104.91,103.74,104.49,2569074
2024-07-26,105.24,107.0,103.99,107.0,3959362
2024-07-29,108.67,109.17,107.83,107.83,4867859
2024-07-30,107.83,108.25,106.16,107.0,2383126
2024-07-31,106.41,107.5,105.83,107.5,2875191
2024-08-01,108.33,108.42,103.74,104.32,6904015
2024-08-02,102.07,104.32,101.15,102.98,9975015
2024-08-05,101.23,102.73,98.14,99.14,10450171
2024-08-06,100.31,101.9,100.14,100.98,6748144
2024-08-07,101.15,101.98,100.48,101.98,2832328
2024-08-08,101.65,102.32,101.06,101.48,2663832
2024-08-09,102.32,106.08,101.98,106.08,5511755
2024-08-12,106.08,108.84,105.49,108.67,6204408
2024-08-13,108.42,108.84,107.0,108.42,4110939
2024-08-14,109.25,109.92,108.25,108.25,2869469
2024-08-15,107.92,108.25,107.16,107.58,2266445
2024-08-16,107.92,109.5,107.92,109.17,5109223
2024-08-19,109.59,109.84,108.67,109.09,2508560
2024-08-20,109.25,110.76,109.25,109.92,3753490
2024-08-21,109.17,111.85,109.17,111.59,6137230
2024-08-22,112.01,112.43,111.59,111.85,3032995
2024-08-23,111.76,111.76,110.68,111.26,3064441
2024-08-26,111.43,111.59,109.92,109.92,2598875
2024-08-27,109.92,110.84,109.0,110.76,2346895
2024-08-28,111.18,112.43,111.09,111.43,2721387
2024-08-29,111.01,111.85,110.51,111.76,2098979
2024-08-30,111.59,112.76,111.18,112.68,3327420
2024-09-04,111.18,111.18,109.92,111.18,4547807
2024-09-05,111.18,111.18,108.42,109.17,8071651
2024-09-06,109.09,111.09,108.92,110.42,3829410
2024-09-09,109.34,110.26,108.75,109.76,2891093
2024-09-10,109.5,109.5,108.33,108.67,4203583
2024-09-11,108.67,109.76,108.5,109.17,3196732
2024-09-12,109.5,110.76,109.5,110.59,4124400
